FRN,471 Application Number,BEN,Applicant Name,Type of Connections,Number of Lines,Download Speed
2568969,942841,141415,HEARNE INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,15
2569000,942919,131977,SAYDEL COMMUNITY SCHOOL DISTRICT,Fiber optic/OC-x,1,140
2569007,942920,143811,OJAI UNIFIED SCHOOL DISTRICT,Cellular Wireless,17,2000
2569009,941959,143903,TAFT CITY ELEM SCHOOL DISTRICT,Fiber optic/OC-x,8,100
2569050,942920,143811,OJAI UNIFIED SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2569053,938541,16057933,NEW MEXICO SCHOOL FOR THE ARTS,Cable,2,100
2569054,942920,143811,OJAI UNIFIED SCHOOL DISTRICT,Fiber optic/OC-x,1,20
2569057,942954,143992,ROUND VALLEY JT ELEM SCH DIST,Cable,1,25
2569061,936998,143709,WESTMORLAND UN ELEM SCH DIST,Cellular Wireless,10,1.544
2569067,942927,143920,SEMITROPIC ELEM SCHOOL DIST,Cellular Wireless,1,1000
2569092,942968,110734,SNELLING-MERCED FALLS SCHOOL,Non-Cellular Wireless (e.g.microwave),1,100
2569093,942973,142391,SARGENT SCHOOL DIST R E 33-J,Fiber optic/OC-x,1,15
2569209,942073,93593,ANNUNCIATION CATHOLIC SCHOOL,Cable,1,50
2569214,942959,54743,PLYMOUTH CHRISTIAN ACADEMY,Fiber optic/OC-x,1,50
2569247,941776,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,100
2569250,942963,16044293,ESCUELA ECOLOGICA DE CULEBRA,Fiber optic/OC-x,1,100
2569258,942964,128221,FRANKLIN SPECIAL SCHOOL DIST,Cellular Wireless,3,5
2569260,942966,124961,MANCHESTER-SHORTSVILLE S D,Cellular Wireless,5,25
2569268,942962,208105,MARION COUNTY PUBLIC LIBRARY SYSTEMS,Fiber optic/OC-x,5,10
2569268,942962,208105,MARION COUNTY PUBLIC LIBRARY SYSTEMS,Fiber optic/OC-x,1,100
2569271,942962,208105,MARION COUNTY PUBLIC LIBRARY SYSTEMS,T3/DS-3,1,45
2569272,942962,208105,MARION COUNTY PUBLIC LIBRARY SYSTEMS,Fiber optic/OC-x,1,10
2569273,942962,208105,MARION COUNTY PUBLIC LIBRARY SYSTEMS,Fiber optic/OC-x,2,10
2569286,942781,134156,SANBORN CENTRAL SCHOOL DISTRICT 55-5,T1/DS-1,144,1.5
2569302,942781,134156,SANBORN CENTRAL SCHOOL DISTRICT 55-5,Dial-up,28,0.056
2569314,942896,137810,WASHINGTON COUNTY SCHOOLS USD 108,Fiber optic/OC-x,1,20
2569315,939457,139930,CORDELL INDEP SCHOOL DIST 78,Fiber optic/OC-x,1,45
2569324,939457,139930,CORDELL INDEP SCHOOL DIST 78,Fiber optic/OC-x,1,100
2569326,943091,134713,CUSTER SCHOOL DISTRICT 15,DSL,1,20
2569331,943054,147091,Smoky Hill/Central KS ESC,Cable,1,5
2569333,943073,128872,BOONE COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,16,1024
2569343,943066,132794,RICHMOND SCHOOL DISTRICT,Fiber optic/OC-x,1,50
2569348,943090,124932,NAPLES CENTRAL SCHOOL DISTRICT,Cellular Wireless,24,25
2569353,943059,140815,MARTINSVILLE INDEP SCHOOL DIST,Cellular Wireless,1,15
2569356,943054,147091,Smoky Hill/Central KS ESC,Cellular Wireless,10,2
2569363,943054,147091,Smoky Hill/Central KS ESC,T1/DS-1,2,1.5
2569366,943088,137438,WAYNESVILLE SCHOOL DIST R 6,Fiber optic/OC-x,1,100
2569367,943054,147091,Smoky Hill/Central KS ESC,Fiber optic/OC-x,1,6
2569367,943054,147091,Smoky Hill/Central KS ESC,Fiber optic/OC-x,1,40
2569369,943054,147091,Smoky Hill/Central KS ESC,T1/DS-1,2,1.5
2569370,943097,125631,SMETHPORT AREA SCHOOL DISTRICT,Cellular Wireless,1,1.4
2569373,943078,124939,WAYNE CENTRAL SCHOOL DISTRICT,Cellular Wireless,69,25
2569374,943101,133427,SCHOOL DISTRICT OF LADYSMITH,Fiber optic/OC-x,1,100
2569378,943054,147091,Smoky Hill/Central KS ESC,T1/DS-1,2,1.5
2569380,943101,133427,SCHOOL DISTRICT OF LADYSMITH,Fiber optic/OC-x,4,100
2569388,943100,132431,SHENANDOAH COMM SCHOOL DIST,Fiber optic/OC-x,1,50
2569389,941776,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cable,1,100
2569391,943101,133427,SCHOOL DISTRICT OF LADYSMITH,Fiber optic/OC-x,1,100
2569395,943103,126969,ANSON COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,13,1000
2569398,936926,225909,EUSTIS FARNAM SCHOOL DISTRICT,Cellular Wireless,1,1.43
2569403,943098,128321,SULLIVAN COUNTY LIBRARY,Cable,4,30
2569416,943076,141136,WORTHAM INDEP SCHOOL DISTRICT,Cellular Wireless,4,1
2569422,943126,132431,SHENANDOAH COMM SCHOOL DIST,Cellular Wireless,2,50
2569432,938125,127722,Miami-Dade County Public Schools,T1/DS-1,484,1.5
2569446,943114,143234,MARTHA LIEBERT PUBLIC LIBRARY,Cable,1,30
2569452,943103,126969,ANSON COUNTY SCHOOL DISTRICT,Cellular Wireless,62,5
2569460,943155,130145,NEW KNOXVILLE SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2569463,943157,128321,SULLIVAN COUNTY LIBRARY,Fiber optic/OC-x,1,10
2569465,943161,132431,SHENANDOAH COMM SCHOOL DIST,T1/DS-1,24,1.5
2569489,940124,131650,ALANSON PUBLIC SCHOOLS,Fiber optic/OC-x,1,5
2569490,943153,131400,EDWARDSBURG PUBLIC SCHOOL DIST,Fiber optic/OC-x,1,100
2569502,943160,130564,GREENSBURG COMMUNITY SCHOOLS,Fiber optic/OC-x,1,125
2569505,943084,136692,WINCHESTER SCHOOL DISTRICT 1,Cellular Wireless,1,6
2569505,943084,136692,WINCHESTER SCHOOL DISTRICT 1,Fiber optic/OC-x,1,30
2569510,943125,132700,TIPTON COMMUNITY SCHOOL DIST,Fiber optic/OC-x,1,100
2569517,943171,16062092,CRESCENT CITY SCHOOLS DISTRICT,Fiber optic/OC-x,3,200
2569534,943112,132886,SHOREWOOD SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),5,5
2569541,943192,142240,PLATTE VALLEY SCH DIST R E 7,Fiber optic/OC-x,1,100
2569544,943180,127533,THOMAS COUNTY BOARD OF EDUCATION,Fiber optic/OC-x,8,1000
2569545,943171,16062092,CRESCENT CITY SCHOOLS DISTRICT,Fiber optic/OC-x,2,100
2569549,943176,130369,KNOX COMM SCHOOL CORPORATION,Cellular Wireless,25,7
2569551,943190,141073,OGLESBY INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,20
2569552,943194,139419,BLEVINS SCHOOL DISTRICT,Cellular Wireless,1,5
2569555,936805,142849,EMERY COUNTY LIBRARY SYSTEM,DSL,7,5
2569558,943189,138776,HAMPTON PUBLIC SCHOOL DISTRICT,T3/DS-3,1,45
2569559,943179,133627,BLOOMINGTON SCHOOL DIST 271,Fiber optic/OC-x,1,250
2569587,943181,140812,JOAQUIN INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2569590,943178,140710,WHITE OAK INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2569605,943206,146175,Holland Christian Schools,Cellular Wireless,3,3
2569606,943210,124979,WILLIAMSON CENTRAL SCHOOL DIST,Cable,1,7
2569607,943206,146175,Holland Christian Schools,Fiber optic/OC-x,3,100
2569607,943206,146175,Holland Christian Schools,Fiber optic/OC-x,1,300
2569610,943210,124979,WILLIAMSON CENTRAL SCHOOL DIST,Cellular Wireless,19,25
2569613,943207,81629,DARBONNE WOODS CHARTER SCHOOL,Non-Cellular Wireless (e.g.microwave),2,20
2569630,943105,4860,MISSISQUOI VALLEY SCHOOL,Fiber optic/OC-x,1,150
2569632,943230,131310,LEWIS CASS I S D,Non-Cellular Wireless (e.g.microwave),3,1
2569633,938465,140132,COLCORD INDEP SCHOOL DIST 4,Fiber optic/OC-x,2,100
2569634,943138,140587,FARMERSVILLE SCHOOL DISTRICT,Fiber optic/OC-x,1,1024
2569635,943230,131310,LEWIS CASS I S D,Fiber optic/OC-x,1,25
2569638,943230,131310,LEWIS CASS I S D,Cable,1,20
2569640,942344,141826,DUMAS INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,1000
2569641,943138,140587,FARMERSVILLE SCHOOL DISTRICT,Fiber optic/OC-x,1,1024
2569642,943230,131310,LEWIS CASS I S D,DSL,1,6
2569651,943237,131534,HOLLAND PUBLIC SCHOOL DISTRICT,Cellular Wireless,30,3
2569652,943237,131534,HOLLAND PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2569652,943237,131534,HOLLAND PUBLIC SCHOOL DISTRICT,Fiber optic/OC-x,9,1000
2569658,942344,141826,DUMAS INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2569660,942974,144506,ARCATA ELEM SCHOOL DISTRICT,Fiber optic/OC-x,2,10
2569661,942974,144506,ARCATA ELEM SCHOOL DISTRICT,DSL,2,10
2569671,943241,131307,CASS DISTRICT LIBRARY,Cable,1,25
2569675,942344,141826,DUMAS INDEP SCHOOL DISTRICT,T1/DS-1,1,1.5
2569676,943241,131307,CASS DISTRICT LIBRARY,Non-Cellular Wireless (e.g.microwave),2,16
2569677,943241,131307,CASS DISTRICT LIBRARY,Cable,1,25
2569679,943241,131307,CASS DISTRICT LIBRARY,Non-Cellular Wireless (e.g.microwave),1,6
2569680,943241,131307,CASS DISTRICT LIBRARY,Non-Cellular Wireless (e.g.microwave),1,12
2569681,942344,141826,DUMAS INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,60
2569687,942976,144449,BELLEVUE UNION ELEM SCH DIST,T1/DS-1,1,1.5
2569695,942976,144449,BELLEVUE UNION ELEM SCH DIST,Fiber optic/OC-x,4,100
2569697,943247,57915,ZEELAND CHRISTIAN SCHOOL,Cellular Wireless,2,3
2569699,938152,127722,Miami-Dade County Public Schools,Fiber optic/OC-x,383,1000
2569713,943218,27499,ST PATRICK SCHOOL,Cable,1,6
2569726,943257,131308,CASSOPOLIS PUBLIC SCHOOL DIST,Non-Cellular Wireless (e.g.microwave),3,1
2569728,942977,144369,BIG OAK FLAT-GROVELAND DISTRICT,T1/DS-1,4,1.5
2569733,942509,128272,BRADLEY COUNTY SCHOOL DISTRICT,Fiber optic/OC-x,19,1000
2569738,942835,17160,HOLY TRINITY ELEMENTARY SCHOOL,Cable,1,50
2569746,943262,131570,ZEELAND PUBLIC SCHOOLS,Cellular Wireless,15,3
2569748,943257,131308,CASSOPOLIS PUBLIC SCHOOL DIST,Cable,1,120
2569749,943257,131308,CASSOPOLIS PUBLIC SCHOOL DIST,DSL,1,8
2569756,943292,143917,ELK HILLS ELEM SCHOOL DISTRICT,Cellular Wireless,5,12
2569766,938229,125042,MEMORIAL LIB OF LITTLE VALLEY,Cable,11,10
2569783,938872,141808,BORGER INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,1024
2569786,943267,140812,JOAQUIN INDEP SCHOOL DISTRICT,Cellular Wireless,1,20
2569793,943292,143917,ELK HILLS ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,10
2569799,943270,124981,NORTH ROSE-WOLCOTT SCHOOL DIST,Cellular Wireless,6,25
2569812,943295,123210,VOORHEES TOWNSHIP SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2569813,936918,139490,DES ARC PUBLIC SCHOOL DISTRICT,DSL,1,10
2569813,936918,139490,DES ARC PUBLIC SCHOOL DISTRICT,DSL,1,15
2569814,943271,138762,DONIPHAN-TRUMBULL PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2569821,943290,139741,BLANCHARD INDEP SCHOOL DIST 29,DSL,6,1
2569827,943291,130235,FRANKLIN COMM SCHOOL CORP,Fiber optic/OC-x,1,150
2569838,943290,139741,BLANCHARD INDEP SCHOOL DIST 29,Fiber optic/OC-x,1,100
2569843,940905,42772,HOLY FAMILY SCHOOL,Fiber optic/OC-x,1,20
2569845,943280,140815,MARTINSVILLE INDEP SCHOOL DIST,Cellular Wireless,4,25
2569847,943290,139741,BLANCHARD INDEP SCHOOL DIST 29,Fiber optic/OC-x,1,250
2569856,943311,123210,VOORHEES TOWNSHIP SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2569862,943276,137658,ROYAL VALLEY USD 337,Fiber optic/OC-x,1,10
2569865,943276,137658,ROYAL VALLEY USD 337,T1/DS-1,1,1.5
2569869,943282,130369,KNOX COMM SCHOOL CORPORATION,Fiber optic/OC-x,1,120
2569872,936837,16021363,COLORADO VIRTUAL ACADEMY,Fiber optic/OC-x,1,50
2569874,943296,133109,ST CROIX CENTRAL SCHOOLS,Fiber optic/OC-x,1,96
2569875,943273,219619,"COLEGIO CARMEN SOL, INC.",Cable,1,10
2569888,942803,66638,CIRCLE OF NATIONS WAHPETON IND. BRDG SCHOOL,Cellular Wireless,1,5
2569888,942803,66638,CIRCLE OF NATIONS WAHPETON IND. BRDG SCHOOL,Cellular Wireless,9,5
2569905,937942,140368,HAYNIE PUBLIC LIBRARY,Fiber optic/OC-x,1,6
2569911,937064,141943,LEVELLAND INDEP SCHOOL DIST,Fiber optic/OC-x,7,1000
2569923,943342,144653,LIVE OAK UNIFIED SCHOOL DIST,T1/DS-1,8,1.5
2569925,943342,144653,LIVE OAK UNIFIED SCHOOL DIST,T1/DS-1,1,1.5
2569926,943342,144653,LIVE OAK UNIFIED SCHOOL DIST,Fiber optic/OC-x,6,100
2569928,943342,144653,LIVE OAK UNIFIED SCHOOL DIST,Cellular Wireless,7,12
2569939,943318,128397,HANCOCK COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,18
2569942,942355,137117,MID-CONTINENT PUBLIC LIBRARY,Fiber optic/OC-x,9,20
2569942,942355,137117,MID-CONTINENT PUBLIC LIBRARY,Fiber optic/OC-x,10,50
2569942,942355,137117,MID-CONTINENT PUBLIC LIBRARY,Fiber optic/OC-x,3,100
2569942,942355,137117,MID-CONTINENT PUBLIC LIBRARY,Fiber optic/OC-x,1,600
2569944,943114,143234,MARTHA LIEBERT PUBLIC LIBRARY,Cable,1,20
2569949,943276,137658,ROYAL VALLEY USD 337,Fiber optic/OC-x,1,50
2569957,943324,130566,DECATUR CO COMM SCHOOL,Fiber optic/OC-x,4,1000
2569958,943324,130566,DECATUR CO COMM SCHOOL,Fiber optic/OC-x,1,1000
2569964,938872,141808,BORGER INDEP SCHOOL DISTRICT,Fiber optic/OC-x,6,1024
2569968,943172,141339,GALVESTON INDEP SCHOOL DIST,Fiber optic/OC-x,1,1000
2569970,942355,137117,MID-CONTINENT PUBLIC LIBRARY,Fiber optic/OC-x,1,100
2569970,942355,137117,MID-CONTINENT PUBLIC LIBRARY,T1/DS-1,60,1.5
2569971,943286,138608,EMERSON-HUBBARD COMM SCHOOLS,Dial-up,2,0.056
2569975,942355,137117,MID-CONTINENT PUBLIC LIBRARY,T1/DS-1,6,1.5
2569983,939077,139934,ERICK INDEP SCHOOL DISTRICT 51,Fiber optic/OC-x,1,1000
2569984,941794,142673,LEADORE COMMUNITY LIBRARY,DSL,1,4
2569985,939077,139934,ERICK INDEP SCHOOL DISTRICT 51,Fiber optic/OC-x,1,10
2569985,939077,139934,ERICK INDEP SCHOOL DISTRICT 51,Fiber optic/OC-x,1,100
2569989,937822,22625,MOTHER OF GOD SCHOOL,Cable,1,20
2570007,943358,139301,DE SOTO PARISH SCHOOL DISTRICT,Fiber optic/OC-x,16,150
2570011,943358,139301,DE SOTO PARISH SCHOOL DISTRICT,T1/DS-1,2,1.5
2570013,943358,139301,DE SOTO PARISH SCHOOL DISTRICT,Fiber optic/OC-x,16,2000
2570017,943358,139301,DE SOTO PARISH SCHOOL DISTRICT,T3/DS-3,11,45
2570023,941160,140236,HARMONY SCHOOL DISTRICT 21,T1/DS-1,6,1.5
2570024,941160,140236,HARMONY SCHOOL DISTRICT 21,Fiber optic/OC-x,1,45
2570041,943365,16020567,MONUMENT ACADEMY,T3/DS-3,1,45
2570042,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,Cellular Wireless,803,3000
2570043,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,Dial-up,2,0.056
2570044,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,T1/DS-1,1,1.5
2570044,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,T3/DS-3,1,45
2570045,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,T1/DS-1,2,1.5
2570052,943379,80212,EDNA KARR SECONDARY SCHOOL,Fiber optic/OC-x,1,100
2570057,943388,130365,GOSHEN COMMUNITY SCHOOLS,Fiber optic/OC-x,1,300
2570067,942471,143915,SUNDALE ELEMENTARY SCHOOL DISTRICT,Fiber optic/OC-x,2,100
2570084,943389,141425,RICHARDS INDEP SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),1,20
2570089,943408,138128,GRINNELL UNIF SCHOOL DIST 291,DSL,1,15
2570174,943490,141385,LUMBERTON INDEP SCHOOL DIST,Fiber optic/OC-x,1,1000
2570176,943489,145618,ALEUTIAN REGION SCHOOL DIST,Cellular Wireless,1,0.144
2570176,943489,145618,ALEUTIAN REGION SCHOOL DIST,DSL,1,5
2570182,943489,145618,ALEUTIAN REGION SCHOOL DIST,Cable,1,22
2570182,943489,145618,ALEUTIAN REGION SCHOOL DIST,Satellite,1,1.024
2570182,943489,145618,ALEUTIAN REGION SCHOOL DIST,Satellite,1,1.536
2570183,943490,141385,LUMBERTON INDEP SCHOOL DIST,Fiber optic/OC-x,1,100
2570185,943478,130375,MISHAWAKA PENN PUBLIC LIBRARY,Fiber optic/OC-x,2,100
2570205,943469,81070,FALSE RIVER ACADEMY,Non-Cellular Wireless (e.g.microwave),1,10
2570211,943473,124968,GENESEE VALLEY/WAYNE-FINGER LAKES EDUCATIONAL TECHNOLOGY SERVICE,Cellular Wireless,477,25
2570218,943062,130298,EAST CHICAGO PUBLIC LIBRARY,Fiber optic/OC-x,8,100
2570220,943062,130298,EAST CHICAGO PUBLIC LIBRARY,Fiber optic/OC-x,1,45
2570222,943202,134797,WOLF POINT SCHOOL DIST 45-45 A,Fiber optic/OC-x,1,100
2570223,943202,134797,WOLF POINT SCHOOL DIST 45-45 A,Fiber optic/OC-x,1,100
2570224,943202,134797,WOLF POINT SCHOOL DIST 45-45 A,Fiber optic/OC-x,1,100
2570226,943202,134797,WOLF POINT SCHOOL DIST 45-45 A,Cellular Wireless,9,2
2570230,941430,142675,SALMON PUBLIC LIBRARY,DSL,1,5
2570231,941430,142675,SALMON PUBLIC LIBRARY,DSL,1,5
2570237,943477,128701,CATHOLIC DIOCESE OF BILOXI,Non-Cellular Wireless (e.g.microwave),7,10
2570242,943477,128701,CATHOLIC DIOCESE OF BILOXI,Non-Cellular Wireless (e.g.microwave),4,5
2570247,943478,130375,MISHAWAKA PENN PUBLIC LIBRARY,Fiber optic/OC-x,1,30
2570254,943513,134775,WINNETT SCHOOL DISTRICT 1,DSL,1,10
2570266,943477,128701,CATHOLIC DIOCESE OF BILOXI,Fiber optic/OC-x,0,6
2570267,943482,144700,COLUMBIA ELEM SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2570271,943482,144700,COLUMBIA ELEM SCHOOL DISTRICT,T1/DS-1,1,1.5
2570273,943482,144700,COLUMBIA ELEM SCHOOL DISTRICT,T1/DS-1,1,1.5
2570279,943477,128701,CATHOLIC DIOCESE OF BILOXI,Cable,0,50
2570280,943477,128701,CATHOLIC DIOCESE OF BILOXI,Cable,0,70
2570283,943477,128701,CATHOLIC DIOCESE OF BILOXI,Cable,0,50
2570286,943484,131413,RIVER VALLEY SCHOOL DISTRICT,Fiber optic/OC-x,1,100
2570291,943485,130407,BERNE PUBLIC LIBRARY,Fiber optic/OC-x,1,5
2570292,943508,131395,BRIDGMAN SCHOOL DISTRICT,Fiber optic/OC-x,1,110
2570294,943508,131395,BRIDGMAN SCHOOL DISTRICT,Non-Cellular Wireless (e.g.microwave),3,1
2570300,943512,130214,TIPTON COUNTY PUBLIC LIBRARY,Fiber optic/OC-x,1,15
2570304,943510,16051639,"KINGS COMMUNITY ACTION ORGANIZATION, INC.",Cellular Wireless,13,4000
2570313,943518,130339,WHITING PUBLIC LIBRARY,Fiber optic/OC-x,1,15
2570315,943519,131411,LINCOLN TWP PUBLIC LIBRARY,Cable,1,100
2570316,943511,143597,CORONA-NORCO UNIF SCH DISTRICT,Cellular Wireless,40,3000
2570321,943511,143597,CORONA-NORCO UNIF SCH DISTRICT,T1/DS-1,3,1.5
2570326,943497,131370,ST JOSEPH PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2570327,943497,131370,ST JOSEPH PUBLIC SCHOOLS,Cable,1,60
2570335,943521,130785,MSD WARREN COUNTY,Fiber optic/OC-x,1,90
2570337,943522,16020175,STEPHEN S. WISE SCHOOLS,T1/DS-1,5,1.5
2570339,943522,16020175,STEPHEN S. WISE SCHOOLS,DSL,1,60
2570339,943522,16020175,STEPHEN S. WISE SCHOOLS,DSL,1,100
2570340,943521,130785,MSD WARREN COUNTY,Fiber optic/OC-x,2,1000
2570342,943522,16020175,STEPHEN S. WISE SCHOOLS,Cellular Wireless,28,4000
2570343,943522,16020175,STEPHEN S. WISE SCHOOLS,Cellular Wireless,7,4000
2570345,943521,130785,MSD WARREN COUNTY,Fiber optic/OC-x,1,1000
2570348,943477,128701,CATHOLIC DIOCESE OF BILOXI,T1/DS-1,6,1.5
2570350,943517,132994,SAUK PRAIRIE SCHOOL DISTRICT,Fiber optic/OC-x,1,70
2570352,943496,80452,BOWLING GREEN SCHOOL,Fiber optic/OC-x,1,10
2570372,943523,231193,JORDAN PUBLIC SCHOOLS,DSL,1,20
2570377,943525,130270,SOUTHWESTERN CONS SCHOOL DIST,Fiber optic/OC-x,1,100
2570378,943526,16067801,YESHIVAT DARCHE ERES ELEMENTARY SCHOOL,Cellular Wireless,6,1
2570380,943526,16067801,YESHIVAT DARCHE ERES ELEMENTARY SCHOOL,Fiber optic/OC-x,1,100
2570381,943526,16067801,YESHIVAT DARCHE ERES ELEMENTARY SCHOOL,Cable,1,50
2570383,943526,16067801,YESHIVAT DARCHE ERES ELEMENTARY SCHOOL,DSL,1,150
2570386,943528,153798,LAKESIDE YOUTH SERVICES,Cellular Wireless,83,1
2570396,943520,141376,ORANGEFIELD INDEP SCHOOL DIST,T1/DS-1,1,1.5
2570407,943528,153798,LAKESIDE YOUTH SERVICES,Cable,4,50
2570409,943527,143952,SAN LUIS COASTAL UNIF SCH DIST,Cellular Wireless,82,1000
2570410,943527,143952,SAN LUIS COASTAL UNIF SCH DIST,T1/DS-1,100,1.5
2570413,943527,143952,SAN LUIS COASTAL UNIF SCH DIST,T1/DS-1,1,1.5
2570414,943529,123063,GREEN TOWNSHIP BOARD OF EDUCATION,Cable,2,35
2570418,943530,16067761,NEW ROOTS CHARTER SCHOOL,Cellular Wireless,8,1
2570419,943530,16067761,NEW ROOTS CHARTER SCHOOL,Cable,1,15
2570433,943549,144444,RINCON VALLEY UNION ELEM DIST,DSL,1,1
2570435,943549,144444,RINCON VALLEY UNION ELEM DIST,Non-Cellular Wireless (e.g.microwave),4,4000
2570436,943549,144444,RINCON VALLEY UNION ELEM DIST,Cellular Wireless,1,2000
2570437,943549,144444,RINCON VALLEY UNION ELEM DIST,T1/DS-1,1,1.5
2570439,943549,144444,RINCON VALLEY UNION ELEM DIST,T1/DS-1,1,1.5
2570447,943532,122971,ASBURY PARK SCHOOL DISTRICT,Cellular Wireless,30,1
2570450,943532,122971,ASBURY PARK SCHOOL DISTRICT,Fiber optic/OC-x,1,500
2570452,943532,122971,ASBURY PARK SCHOOL DISTRICT,Fiber optic/OC-x,6,100
2570452,943532,122971,ASBURY PARK SCHOOL DISTRICT,Fiber optic/OC-x,1,500
2570475,943552,134809,FRAZER SCHOOL DISTRICT 2-2 B,Fiber optic/OC-x,1,100
2570489,943555,134794,FRONTIER SCHOOL DISTRICT 3,Fiber optic/OC-x,1,100
2570549,943608,134833,DANIELS COUNTY LIBRARY,DSL,1,6
2570569,943628,134811,FROID SCHOOLS DISTS 65 & 65E,Fiber optic/OC-x,1,100
2570610,943670,16050244,BRONX COMMUNITY CHARTER SCHOOL,Cellular Wireless,2,1
2570611,943670,16050244,BRONX COMMUNITY CHARTER SCHOOL,DSL,1,15
2570615,943676,16056565,HEBREW LANGUAGE ACADEMY CHARTER SCHOOL,Cellular Wireless,7,1
2570620,943674,134818,MEDICINE LAKE SCH DISTRICT 7,Fiber optic/OC-x,1,100
2570640,943695,16072351,SCHOLAR PREPARATORY ACADEMY,Cellular Wireless,6,1
2570642,943695,16072351,SCHOLAR PREPARATORY ACADEMY,Cable,1,100
2570664,943659,134804,CULBERTSON SCHOOL DIST 17 C,Fiber optic/OC-x,1,100
2570666,943659,134804,CULBERTSON SCHOOL DIST 17 C,Cellular Wireless,2,2
2570668,943696,141353,WEST HARDIN CCISD,Cable,1,20
2570676,937308,126844,MONTGOMERY COUNTY SCHOOL DIST,Cellular Wireless,68,1
2570677,937308,126844,MONTGOMERY COUNTY SCHOOL DIST,Cellular Wireless,12,1
2570678,941977,16071207,BUS BARN,DSL,1,3
2570692,943660,134800,BROCKTON SCH DISTRICT 55-55 F,Fiber optic/OC-x,1,100
2570698,943708,226378,WEST RUSK ISD,T1/DS-1,1,1.5
2570717,943710,226378,WEST RUSK ISD,T1/DS-1,1,1.5
2570733,943735,130752,COVINGTON COMMUNITY SCHOOLS,Fiber optic/OC-x,1,50
2570737,943653,139380,DREW CENTRAL SCHOOL DISTRICT,Fiber optic/OC-x,1,250
2570741,943737,140319,SWINK SCHOOL DISTRICT 21,Cellular Wireless,5,1
2570743,943737,140319,SWINK SCHOOL DISTRICT 21,Fiber optic/OC-x,1,15
2570750,943714,134798,BAINVILLE SCHOOL DISTRICT 64,Fiber optic/OC-x,1,100
2570787,942330,138587,ROCK COUNTY LIBRARY,Fiber optic/OC-x,1,10
2570808,943749,16069285,CONG TALMUD TORAH,Cellular Wireless,1,3
2570812,943753,124918,LE ROY CENTRAL SCHOOL DISTRICT,Cellular Wireless,18,25
2570814,938153,127722,Miami-Dade County Public Schools,T3/DS-3,3,45
2570818,943762,56968,COUNTRYSIDE ACADEMY,T1/DS-1,1,1.5
2570826,939120,139965,FAIRVIEW PUBLIC SCHOOLS,Fiber optic/OC-x,1,100
2570828,943058,130186,CARMEL CLAY PUBLIC LIBRARY,Fiber optic/OC-x,1,50
2570830,943795,130345,MERRILLVILLE COMM SCH CORP,Fiber optic/OC-x,1,300
2570833,943758,141101,DAWSON INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,40
2570847,943808,130691,PERRY COUNTY PUBLIC LIBRARY TELL CITY,T1/DS-1,2,1.5
2570848,939120,139965,FAIRVIEW PUBLIC SCHOOLS,T1/DS-1,2,1.5
2570849,943808,130691,PERRY COUNTY PUBLIC LIBRARY TELL CITY,Fiber optic/OC-x,1,25
2570852,943762,56968,COUNTRYSIDE ACADEMY,Cable,1,50
2570855,943762,56968,COUNTRYSIDE ACADEMY,Non-Cellular Wireless (e.g.microwave),1,100
2570860,943796,128880,BELLEVUE INDEP SCHOOL DISTRICT,Fiber optic/OC-x,1,10000
2570867,936890,140146,OAKS MISSION SCHOOL DIST I-5,Fiber optic/OC-x,1,10
2570874,943823,130778,REMINGTON-CARPENTER TOWNSHIP PUBLIC,Fiber optic/OC-x,1,5
